Categoria_CEN,Empresa,Sigla,RUT,Oportunidad_Comercial
Generación,GUADALUPE SOLAR SPA,GUADALUP,76.173.044-4,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Cliente Libre,GUANACO COMPAÑÍA MINERA SPA,GCM,90.133.348-3,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Generación,GÉNOVA SOLAR SPA,GNOVASO,76.748.988-9,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,HALDEMAN MINING COMPANY S.A.,HMCS,76.639.981-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,HBS ENERGÍA S.A.,HESA,76.661.443-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,HIDRO MUNILQUE SPA,HIDROMUN,76.288.211-6,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELECTRICA ALLIPÉN S.A.,HASA,76.672.537-6,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELECTRICA DON EUGENIO SPA,HDE,76.536.583-K,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELECTRICA DOS VALLES SPA,HDV,76.771.256-1,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELECTRICA PUCLARO S.A.,HPSA,76.473.054-2,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA EL CANELO S.A.,HECS,76.851.561-1,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA EL MANZANO S.A.,HEMS,76.165.847-6,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA EL PASO SPA,HEP,76.515.021-3,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA EMBALSE ANCOA SPA,HEA,76.723.101-6,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA ENSENADA S.A.,HESA,76.143.001-7,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA LA CONFLUENCIA S.A.,HLCS,76.752.619-9,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA LA HIGUERA S.A.,HLHS,76.266.657-K,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA LAS FLORES S.A.,HLFS,76.436.125-3,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA LAS JUNTAS S.A.,HLJS,76.034.996-8,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA LAS NIEVES SPA,HLN,76.691.148-K,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA LLEUQUEREO S.A.,HLSA,76.206.339-5,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA LOS CORRALES SPA,HLC,76.328.056-K,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA MAISÁN SPA,HIDROEL,76.330.868-5,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Cliente Libre,HIDROELÉCTRICA MALLARAUCO S.A.,HMSA,90.538.513-5,"DCS continuo para digestores kraft y calderas de cogeneración por biomasa, integración SAS"
Generación,HIDROELÉCTRICA PALACIOS SPA,HIDROEL,76.795.174-4,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA PICHILONCO S.A.,HPSA,76.236.031-4,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA PIEDRAS NEGRAS SPA,HPN,76.930.218-2,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA PUMA S.A.,HPSA,76.472.552-2,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA PUNTA DEL VIENTO SPA,HPV,76.976.796-7,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA ROBLERIA SPA,HIDROEL,76.383.507-3,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA RÍO CLARO S.A.,HRCS,76.732.861-3,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA RÍO COLORADO S.A.,HRCS,76.696.589-K,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA RÍO HUASCO S.A.,HRHS,76.109.201-4,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA RÍO LIRCAY S.A.,HRLS,76.367.687-0,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA SAN ANDRÉS SPA,HSA,76.980.748-9,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA TRAILELFU SPA,HIDROEL,76.971.721-8,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROELÉCTRICA TRUENO S.A.,HTSA,76.322.429-5,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROENERSUR SPA,HIDROENERS,76.927.218-6,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROMOCHO S.A.,HSA,76.609.598-4,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDRONALCAS S.A.,HSA,76.919.537-8,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HIDROPALOMA S.A.,HSA,76.346.182-3,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,HORMIGA SOLAR SPA,HORMIGAS,76.268.762-3,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,HUEMUL ENERGÍA SPA,HUEMULEN,76.365.161-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,IBEREÓLICA CABO LEONES II S.A.,ICLI,76.449.485-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,IEH SOLAR CHILE SPA,IEHSOLAR,76.733.411-7,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,ILLALOLEN S.A.,ISA,76.202.161-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,IMELSA ENERGÍA SPA,IMELSAEN,76.875.666-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,IMPULSO SOLAR EL RESPLANDOR SPA,ISER,76.529.041-4,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,IMPULSO SOLAR LAS LLOYSAS SPA,ISLL,76.255.065-2,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,INCAHUASI ENERGY SPA,INCAHUAS,76.214.588-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,INDURA S.A.,ISA,76.150.343-K,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,INMOBILIARIA AGUA MARINA S.A.,IAMS,76.722.153-3,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,INNERGEX ENERGÍA RENOVABLE SPA,IER,76.857.493-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,INNOVACIÓN ENERGÍA S.A.,IESA,76.792.819-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Transmisión,INTERCHILE S.A.,ISA,90.319.018-3,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Generación,INVERSIONES FOTOVOLTAICAS SPA,INVERSIO,76.207.499-0,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,INVERSIONES HORNITOS SPA,INVERSIO,76.357.522-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,INVERSIONES Y SERVICIOS DATALUNA LTDA,ISD,76.113.625-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,JACARANDA SPA,JACARANDA,76.370.262-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,JAVIERA SPA,JAVIERA,76.474.783-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,JOEL SOLAR SPA,JOELSOLA,76.516.631-4,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,JUAN SOLAR SPA,JUANSOLA,76.974.890-3,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Cliente Libre,KDM ENERGÍA S.A.,KESA,90.049.420-3,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,KELTI S.A.,KSA,76.448.213-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,KONDA SOLAR SPA,KONDASOL,76.854.242-2,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,LA ACACIA SPA,LAACACIA,76.382.476-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,LA CHAPEANA SPA,LACHAPEA,76.779.047-3,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,LA CHIMBA BIS SPA,LCB,76.376.037-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Transmisión,LA CONFLUENCIA TRANSMISIÓN S.A.,LCTS,90.567.585-0,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Transmisión,LA HIGUERA TRANSMISIÓN S.A.,LHTS,90.523.662-8,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Generación,LA HUERTA SPA,LAHUERTA,76.144.309-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,LA INDEPENDENCIA SOLAR SPA,LIS,76.115.654-3,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,LA MANGA ENERGY SPA,LME,76.525.815-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,LA SIERRA SPA,LASIERRA,76.795.240-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,LARQUI SOLAR SPA,LARQUISO,76.415.119-4,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,LAS CHACRAS ENERGY SPA,LCE,76.862.258-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,LAS CHILCAS SOLAR SPA,LCS,76.087.130-3,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,LAS MOLLACAS SPA,LASMOLLA,76.991.100-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,LASCAR ENERGY SPA,LASCAREN,76.250.937-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,LAUREL SPA,LAUREL,76.411.815-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,LINGUE SPA,LINGUE,76.889.818-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,LINXERGY SPA,LINXERGY,76.916.624-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,LINZOR DE VERANO SPA,LINZORVE,76.689.154-3,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,LIRIO DE CAMPO SOLAR SPA,LCS,76.972.716-7,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,LIRIOS DE CHUMAQUITO SPA,LIRIOSCH,76.215.096-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Transmisión,LITORAL TRANSMISIÓN S.A.,LTSA,90.460.820-3,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Generación,LITRE SPA,LITRE,76.862.963-3,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,LOICA SPA,LOICA,76.965.956-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,LOS GUINDOS GENERACIÓN SPA,LGG,76.210.786-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,LOS LAGOS SPA,LOSLAGOS,76.485.976-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,LOS LIBERTADORES SOLAR SPA,LLS,76.837.597-6,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,LOS MOLINOS SPA,LOSMOLIN,76.999.270-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,LOS PADRES HIDRO SPA,LPH,76.805.070-8,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,LOS PORTONES S.A.,LPSA,76.632.683-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,LOS SAUCES SOLAR I SPA,LSSI,76.916.063-9,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,LOS SAUCES SOLAR II SPA,LSSI,76.186.640-0,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,LUCE SOLAR SPA,LUCESOLA,76.701.464-3,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,LUCIANO SOLAR SPA,LUCIANOS,76.291.942-7,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,LUNA ENERGY SPA,LUNAENER,76.630.854-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Transmisión,LUZPARRAL TRANSMISIÓN S.A.,LTSA,90.357.756-8,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Generación,LÁGRIMAS DEL SUR SPA,LGRIMAS,76.682.929-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,MACAO SOLAR SPA,MACAOSOL,76.341.844-8,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,MAGDALENA SOLAR SPA,MAGDALEN,76.224.456-K,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,MAITE SOLAR SPA,MAITESOL,76.878.438-8,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,MAITÉN SPA,MAITN,76.317.300-3,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,MANDINGA SOLAR SPA,MANDINGA,76.268.794-1,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Cliente Libre,MANTOS COPPER S.A.,MCSA,90.112.013-7,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,MANTOVERDE S.A.,MSA,76.077.274-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,MANZANARES ENERGÍA SPA,MANZANAR,76.122.386-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,MARGARITA SOLAR SPA,MARGARIT,76.520.099-7,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Cliente Libre,MASISA S.A.,MSA,96.802.690-9,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Transmisión,MATAQUITO TRANSMISORA DE ENERGÍA S.A.,MTES,90.029.349-6,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Generación,MAUI SOLAR SPA,MAUISOLA,76.463.711-9,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,MELI SPA,MELI,76.644.561-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,MELON S.A.,MSA,76.109.779-2,"DCS para hornos rotatorios y dosificación de clínker, analizadores de gas y pesómetros"
Generación,MEMBRILLO SOLAR SPA,MEMBRILL,76.662.983-0,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Cliente Libre,MGM INNOVA CAPITAL CHILE SPA,MIC,90.888.846-4,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,MIGUEL SOLAR SPA,MIGUELSO,76.335.157-2,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Cliente Libre,MINERA ANTUCOYA,MINERAAN,90.884.199-9,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,MINERA CENTINELA,MINERACE,90.112.506-6,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,MINERA ESCONDIDA LTDA.,MINERAES,90.684.851-1,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,MINERA HMC S.A.,MHSA,90.413.829-0,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,MINERA LAS CENIZAS S.A.,MLCS,90.070.383-K,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,MINERA LOS PELAMBRES,MLP,90.735.578-0,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,MINERA MERIDIAN LTDA.,MINERAME,90.305.979-6,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,MINERA SPENCE S.A.,MSSA,90.386.378-1,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,MINERA VALLE CENTRAL S.A.,MVCS,90.675.577-7,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Generación,MINICENTRAL HIDROELÉCTRICA EL DIUTO S.A.,MHED,76.251.800-7,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,MINICENTRALES ARAUCANÍA S.A.,MASA,76.176.598-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Transmisión,MLP TRANSMISION S.A.,MTSA,90.067.329-9,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Cliente Libre,MOLY-COP CHILE S.A.,MCSA,92.244.000-K,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,MVC SOLAR 17 SPA,MS1,76.628.529-5,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,MVC SOLAR 38 SPA,MS3,76.475.976-1,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,MYTILINEOS ENERGY TRADING CHILE SPA,MET,76.522.258-3,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,NAIN SOLAR SPA,NAINSOLA,76.621.008-2,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,NEOELECTRA ENERGÍA CHILE SPA,NEOELECT,76.001.158-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,NEOMAS SPA,NEOMAS,76.917.725-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,NEWENTUN SPA,NEWENTUN,76.014.826-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,NEXTPOWER III CHILE HOLDCO II SPA,NIHI,76.043.124-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,NICOLAS SOLAR SPA,NICOLASS,76.863.017-8,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Transmisión,NIRIVILO TRANSMISORA DE ENERGÍA S.A.,NTES,90.269.323-8,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Generación,NORACID S.A.,NSA,76.964.693-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,NOVA ANDINO LITIO SPA.,NAL,76.593.568-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,NUEVA CARENA SPA,NUEVACAR,76.859.175-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,NUEVA ESPERANZA SOLAR SPA,NES,76.958.124-3,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,NUEVO AMANECER FZ SPA,NAF,76.514.518-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,OCCIDENTAL CHEMICAL CHILE LTDA.,OCCIDENT,90.232.942-0,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,ON-GROUP S.A.,OSA,76.375.814-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,OPDENERGY GENERACIÓN SPA,OPDENERG,76.089.675-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ORAFTI CHILE S.A.,OSA,76.582.055-3,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ORIÓN SOLAR SPA,ORINSOL,76.718.560-K,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,OSA MAYOR SOLAR SPA,OMS,76.628.377-2,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,PACANA DEL VERANO SPA,PACANAVE,76.015.492-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,PACIFIC HYDRO CHACAYES S.A.,PHCS,76.096.980-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,PACIFIC HYDRO CHILE S.A.,PHSA,96.963.090-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Transmisión,PACIFIC HYDRO TRANSMISIÓN S.A.,PHTS,90.783.913-3,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Generación,PACIFIC SPA,PACIFIC,76.112.179-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,PALMUCHO S.A.,PSA,76.594.071-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,PALPANA DE VERANO SPA,PALPANAV,76.162.600-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,PANGUILEMO SPA,PANGUILEMO,76.340.378-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,PAPELERA DOS S.A.,PDSA,90.951.286-7,"DCS continuo para digestores kraft y calderas de cogeneración por biomasa, integración SAS"
Cliente Libre,PARQUE EÓLICO ANTOFAGASTA SPA,PEA,90.890.340-4,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Cliente Libre,PARQUE EÓLICO ATACAMA SPA,PEA,90.922.863-8,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,PARQUE EÓLICO CABO LEONES I S.A.,PECL,76.553.702-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,PARQUE EÓLICO CAMPO LINDO SPA,PECL,76.577.010-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,PARQUE EÓLICO EL ARRAYÁN SPA,PEEA,76.146.806-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,PARQUE EÓLICO EL MAITÉN SPA,PEEM,76.346.826-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,PARQUE EÓLICO EL NOGAL SPA,PEEN,76.449.834-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,PARQUE EÓLICO LEBU-TORO SPA,PELT,76.103.590-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,PARQUE EÓLICO LOS CURUROS SPA,PELC,76.013.971-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,PARQUE EÓLICO PUNTA DE TALCA SPA,PEPT,76.098.279-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,PARQUE FOTOVOLTAICO ALICAHUE SOLAR SPA,PFAS,76.127.892-4,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,PARQUE FOTOVOLTAICO DON MATÍAS SPA,PFDM,76.374.491-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,PARQUE FOTOVOLTAICO DOÑA IGNA SPA,PFDI,76.662.589-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,PARQUE FOTOVOLTAICO EL LORETO SPA,PFEL,76.369.852-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
